번호(내역),번호(세부),연번,세부사업명,내역사업명,부처명,전문위,26년 예산,인공지능,첨단바이오,양자,우주항공해양,반도체/디스플레이,첨단모빌리티,첨단로봇제조,차세대통신,수소,차세대원자력,이차전지,사이버보안,기초,탄소중립,국방,출연직할,재난안전,지역,기술사업화,인력양성
26017.0,26017.0,1,개인정보보호활용전문인력양성(R&D),,개보위,인공지능ICT,"3,000",,,,,,,,,,,,"3,000",,,,,"2,880",,,"2,880"
26017.01,,1,개인정보보호활용전문인력양성(R&D),개인정보보호활용전문인력양성,개보위,인공지능ICT,"2,880",,,,,,,,,,,,"2,880",,,,,"2,880",,,"2,880"
26017.02,,1,개인정보보호활용전문인력양성(R&D),기평비,개보위,인공지능ICT,120,,,,,,,,,,,,120,,,,,,,,
26019.0,26019.0,2,개인정보안전활용선도기술개발(R&D),,개보위,인공지능ICT,"6,138","6,138",,,,,,,,,,,"6,138",,,,,"5,904",,,
26019.01,,2,개인정보안전활용선도기술개발(R&D),원본데이터안전활용기술개발,개보위,인공지능ICT,"4,560","4,560",,,,,,,,,,,"4,560",,,,,"4,560",,,
26019.02,,2,개인정보안전활용선도기술개발(R&D),AI프라이버시리스크대응기술개발,개보위,인공지능ICT,"1,344","1,344",,,,,,,,,,,"1,344",,,,,"1,344",,,
26019.03,,2,개인정보안전활용선도기술개발(R&D),기평비,개보위,인공지능ICT,234,234,,,,,,,,,,,234,,,,,,,,
26020.0,26020.0,3,글로벌개인정보보호표준개발(R&D),,개보위,인공지능ICT,"1,482",,,,,,,,,,,,"1,425",,,,,"1,425",,,
26020.01,,3,글로벌개인정보보호표준개발(R&D),개인정보보호국제표준선점및기반구축확산,개보위,인공지능ICT,"1,425",,,,,,,,,,,,"1,425",,,,,"1,425",,,
26020.02,,3,글로벌개인정보보호표준개발(R&D),기평비,개보위,인공지능ICT,57,,,,,,,,,,,,,,,,,,,,
256000.0,256000.0,4,신뢰기반의AI대응개인정보보호활용기술개발(R&D),,개보위,인공지능ICT,"2,660","2,660",,,,,,,,,,,"2,660",,,,,,,,
256000.01,,4,신뢰기반의AI대응개인정보보호활용기술개발(R&D),AI대응개인정보보호강화기술개발,개보위,인공지능ICT,"2,560","2,560",,,,,,,,,,,"2,560",,,,,,,,
256000.98,,4,신뢰기반의AI대응개인정보보호활용기술개발(R&D),기평비,개보위,인공지능ICT,100,100,,,,,,,,,,,100,,,,,,,,
350000.0,350000.0,5,경찰건강스마트관리,,경찰청,공공해양환경,"6,562",,,,,,,,,,,,,,,,,"6,562",,,
350000.01,,5,경찰건강스마트관리,IoTAI기반경찰인적자원항상성관리플랫폼개발,경찰청,공공해양환경,"6,310",,,,,,,,,,,,,,,,,"6,310",,,
350000.98,,5,경찰건강스마트관리,기획평가관리비,경찰청,공공해양환경,252,,,,,,,,,,,,,,,,,252,,,
25179.0,25179.0,6,경찰작전능력향상기술개발,,경찰청,공공해양환경,"1,248",,,,,,,,,,,,,,,,,"1,200",,,
25179.01,,6,경찰작전능력향상기술개발,다층신소재기반현장맞춤형개인보호기술,경찰청,공공해양환경,"1,200",,,,,,,,,,,,,,,,,"1,200",,,
25179.02,,6,경찰작전능력향상기술개발,기획평가관리비,경찰청,공공해양환경,48,,,,,,,,,,,,,,,,,,,,
22506.0,22506.0,7,경찰장비개선,,경찰청,공공해양환경,"2,548",,,,,,,,,,,,,,,,,"2,548",,,
22506.01,,7,경찰장비개선,위해성경찰장비도입을위한표준인증체계구축(舊위해성경찰장비표준인증체계개발),경찰청,공공해양환경,"1,100",,,,,,,,,,,,,,,,,"1,100",,,
22506.05,,7,경찰장비개선,대테러경찰장비관리기술개발,경찰청,공공해양환경,"1,350",,,,,,,,,,,,,,,,,"1,350",,,
22506.04,,7,경찰장비개선,기획평가관리비,경찰청,공공해양환경,98,,,,,,,,,,,,,,,,,98,,,
242000.0,242000.0,8,과학기술기반군중밀집관리기술개발,,경찰청,공공해양환경,"1,976","1,900",,,,,,,,,,,,,,,,"1,976",,,
242000.01,,8,과학기술기반군중밀집관리기술개발,과학기술기반군중밀집관리기술개발,경찰청,공공해양환경,"1,900","1,900",,,,,,,,,,,,,,,,"1,900",,,
242000.98,,8,과학기술기반군중밀집관리기술개발,기획평가관리비,경찰청,공공해양환경,76,,,,,,,,,,,,,,,,,76,,,
21172.0,21172.0,9,과학적범죄수사고도화기술개발,,경찰청,공공해양환경,"3,068","1,800",,,,,,,,,,,,,,,,"3,068",,,
21172.04,,9,과학적범죄수사고도화기술개발,법곤충감정기법데이터구축,경찰청,공공해양환경,"1,150",,,,,,,,,,,,,,,,,"1,150",,,
21172.05,,9,과학적범죄수사고도화기술개발,인공지능기반고속위해기체분석플랫폼구축,경찰청,공공해양환경,"1,800","1,800",,,,,,,,,,,,,,,,"1,800",,,
21172.98,,9,과학적범죄수사고도화기술개발,기획평가관리비,경찰청,공공해양환경,118,,,,,,,,,,,,,,,,,118,,,
21173.0,21173.0,10,과학치안공공연구성과실용화촉진시범사업,,경찰청,공공해양환경,"1,440",,,,,,,,,,,,,,,,,"1,440",,"1,440",
21173.01,,10,과학치안공공연구성과실용화촉진시범사업,단기치안R&D기술실용화,경찰청,공공해양환경,"1,080",,,,,,,,,,,,,,,,,"1,080",,"1,080",
21173.02,,10,과학치안공공연구성과실용화촉진시범사업,기초원천연구성과치안분야기술실용화,경찰청,공공해양환경,360,,,,,,,,,,,,,,,,,360,,360,
23046.0,23046.0,11,미래치안도전기술개발,,경찰청,공공해양환경,"1,383",,,,,,,,,,,,,,,,,"1,383",,,
23046.01,,11,미래치안도전기술개발,미래치안도전기술개발,경찰청,공공해양환경,"1,330",,,,,,,,,,,,,,,,,"1,330",,,
23046.98,,11,미래치안도전기술개발,기획평가관리비,경찰청,공공해양환경,53,,,,,,,,,,,,,,,,,53,,,
24005.0,24005.0,12,불법마약류대응을위한현장기술개발,,경찰청,공공해양환경,"4,932","3,300",,,,,,,,,,,"1,800",,,,,"4,932",,,
24005.01,,12,불법마약류대응을위한현장기술개발,불법마약류대응을위한현장기술개발,경찰청,공공해양환경,"1,442",,,,,,,,,,,,,,,,,"1,442",,,
24005.02,,12,불법마약류대응을위한현장기술개발,멀티모달AI기반마약류추적탐지시스템개발,경찰청,공공해양환경,"1,500","1,500",,,,,,,,,,,,,,,,"1,500",,,
24005.03,,12,불법마약류대응을위한현장기술개발,다크웹및가상자산거래추적연계마약수사통합시스템개발,경찰청,공공해양환경,"1,800","1,800",,,,,,,,,,,"1,800",,,,,"1,800",,,
24005.98,,12,불법마약류대응을위한현장기술개발,기획평가관리비,경찰청,공공해양환경,190,,,,,,,,,,,,,,,,,190,,,
25175.0,25175.0,13,사이버범죄수사단서통합분석및추론시스템개발,,경찰청,공공해양환경,"6,136","5,900",,,,,,,,,,,"5,900",,,,,"5,900",,,
25175.01,,13,사이버범죄수사단서통합분석및추론시스템개발,사이버범죄대응기술,경찰청,공공해양환경,"5,900","5,900",,,,,,,,,,,"5,900",,,,,"5,900",,,
25175.98,,13,사이버범죄수사단서통합분석및추론시스템개발,기획평가관리비,경찰청,공공해양환경,236,,,,,,,,,,,,,,,,,,,,
23043.0,23043.0,14,사이버수사지원기술개발,,경찰청,공공해양환경,"8,736","2,000",,,,,,,,,,,"5,600",,,,,"8,736",,,
23043.01,,14,사이버수사지원기술개발,디지털성범죄대응위장수사지원용가상인물생성및관리기술개발,경찰청,공공해양환경,"2,800",,,,,,,,,,,,,,,,,"2,800",,,
23043.05,,14,사이버수사지원기술개발,기획평가관리비,경찰청,공공해양환경,336,,,,,,,,,,,,,,,,,336,,,
23043.07,,14,사이버수사지원기술개발,허위조작콘텐츠진위여부판별시스템개발,경찰청,공공해양환경,"3,600",,,,,,,,,,,,"3,600",,,,,"3,600",,,
23043.08,,14,사이버수사지원기술개발,인공지능모델포렌식기술연구개발,경찰청,공공해양환경,"2,000","2,000",,,,,,,,,,,"2,000",,,,,"2,000",,,
23042.0,23042.0,15,사회적약자보호강화기술개발,,경찰청,공공해양환경,"4,483",,,,,,,,,,,,,,,,,"4,483",,,
23042.01,,15,사회적약자보호강화기술개발,신변보호단말용저전력기반위치추적기술개발,경찰청,공공해양환경,"3,300",,,,,,,,,,,,,,,,,"3,300",,,
23042.06,,15,사회적약자보호강화기술개발,기획평가관리비,경찰청,공공해양환경,172,,,,,,,,,,,,,,,,,172,,,
23042.15,,15,사회적약자보호강화기술개발,사회적약자밀착형디지털순찰서비스개발,경찰청,공공해양환경,"1,011",,,,,,,,,,,,,,,,,"1,011",,,
21174.0,21174.0,16,자율주행기술개발혁신사업,,경찰청,공공해양환경,"14,454",,,,,,"13,725",,,,,,,,,,,"14,454",,,
21174.02,,16,자율주행기술개발혁신사업,자율주행기술개발혁신사업,경찰청,공공해양환경,"13,725",,,,,,"13,725",,,,,,,,,,,"13,725",,,
21174.99,,16,자율주행기술개발혁신사업,기획평가관리비,경찰청,공공해양환경,729,,,,,,,,,,,,,,,,,729,,,
25174.0,25174.0,17,차세대지능형순찰플랫폼(움직이는지구대),,경찰청,공공해양환경,"3,465","3,332",,,,,"3,332",,,,,,,,,,,"3,332",,,
25174.01,,17,차세대지능형순찰플랫폼(움직이는지구대),능동형안전서비스제공을위한이동형플랫폼기반솔루션개발,경찰청,공공해양환경,"3,332","3,332",,,,,"3,332",,,,,,,,,,,"3,332",,,
25174.02,,17,차세대지능형순찰플랫폼(움직이는지구대),기획평가관리비,경찰청,공공해양환경,133,,,,,,,,,,,,,,,,,,,,
26022.0,26022.0,18,치안데이터활용기술개발,,경찰청,인공지능ICT,"1,560","1,560",,,,,,,,,,,"1,560",,,,,"1,500",,,
26022.01,,18,치안데이터활용기술개발,치안비정형데이터암호화컴퓨팅기술연구개발,경찰청,인공지능ICT,"1,500","1,500",,,,,,,,,,,"1,500",,,,,"1,500",,,
26022.02,,18,치안데이터활용기술개발,기획평가관리비,경찰청,인공지능ICT,60,60,,,,,,,,,,,60,,,,,,,,
26021.0,26021.0,19,치안신산업핵심기술사업화지원,,경찰청,공공해양환경,820,,,,,,,,,,,,,,,,,788,,788,
26021.01,,19,치안신산업핵심기술사업화지원,치안기술국내사업화지원,경찰청,공공해양환경,788,,,,,,,,,,,,,,,,,788,,788,
